country,population,gdp_per_capita_scaled,health_expenditure_per_person_scaled,government_effectiveness_scaled,womenMPs_scaled,TotalCases_scaled,TotalDeaths_scaled,TotalCasesPerM_scaled,DeathsPerM_scaled,TotalTests_scaled,TestsPerM_scaled,age_over_65_percentage_scaled,percentageDied_scaled,gdp_per_capita,health_expenditure_per_person,government_effectiveness,womenMPs,TotalCases,TotalDeaths,TotalCasesPerM,DeathsPerM,TotalTests,TestsPerM,age_over_65_percentage,percentageDied
Romania,20000000,0.149124579,0.106054191,0.316091954,0.423312883,0.010342338,0.011046275,0.073706974,0.046976849,0.023532152,0.037855625,0.651189128,0.33,22348,1090,-0.17,20.7,8067,411,419,21,85805,4460,18.34,5.09
Russia,144000000,0.182590148,0.140347163,0.341954023,0.323108384,0.044632038,0.007300855,0.037664444,0.004270623,0.489406878,0.101017429,0.512646282,0.05,26490,1414,-0.08,15.8,32008,273,219,2,1718019,11773,14.67,0.85
Saudi Arabia,33000000,0.414215191,0.321020322,0.436781609,0.406952965,0.009017499,0.00225268,0.035141467,0.004270623,0.041855012,0.03655145,0.08380521,0.07,55158,3121,0.25,19.9,7142,87,205,2,150000,4309,3.31,1.22
Serbia,7000000,0.085659575,0.130821338,0.41954023,0.703476483,0.00693786,0.002876917,0.115516309,0.02899528,0.008336409,0.031524762,0.651566629,0.12,14493,1324,0.19,34.4,5690,110,651,13,32566,3727,18.35,1.93
Singapore,6000000,0.678392812,0.380292125,1,0.470347648,0.006021215,0.000189985,0.153721391,0.004270623,0.026098408,0.13927899,0.391468479,0,87855,3681,2.21,23,5050,11,863,2,94796,16203,11.46,0.22
Slovenia,2100000,0.227795328,0.280059272,0.701149425,0.750511247,0.000655974,0.001682725,0.111191206,0.071701506,0.010267024,0.162728231,0.699131748,0.33,32085,2734,1.17,36.7,1304,66,627,32,39330,18918,19.61,5.06
South Africa,57000000,0.075414684,0.105630821,0.445402299,0.858895706,0.002774285,0.001248473,0.006667868,0.001573387,0.027819807,0.014017723,0.159682899,0.11,13225,1086,0.28,42,2783,50,47,0.8,100827,1700,5.32,1.8
South Korea,51000000,0.273485283,0.328323455,0.675287356,0.347648262,0.014020378,0.006133804,0.035501892,0.008766015,0.155015474,0.091395899,0.503208758,0.13,37740,3190,1.08,17,10635,230,207,4,546463,10659,14.42,2.16
Spain,47000000,0.06763406,0.327582557,0.66091954,0.799591002,0.268186102,0.53220247,0.723193368,0.941559901,0.264552181,0.171175139,0.690449226,0.69,12262,3183,1.03,39.1,188093,19613,4023,419,930230,19896,19.38,10.43
Sweden,10000000,0.449789527,0.551545301,0.893678161,0.891615542,0.017717037,0.037888452,0.234096234,0.31220499,0.020333964,0.063135893,0.717629294,0.7,59561,5299,1.84,43.6,13216,1400,1309,139,74600,7387,20.1,10.59
Switzerland,8000000,0.637522724,0.793289585,0.956896552,0.664621677,0.037571004,0.035907179,0.562083258,0.343672735,0.057952983,0.205316889,0.661759154,0.32,82796.55,7583,2.06,32.5,27078,1327,3129,153,206400,23849,18.62,4.9
Turkey,81000000,0.16984059,0.096104996,0.385057471,0.298568507,0.111286483,0.047903379,0.165975852,0.046976849,0.158426303,0.056520012,0.278973197,0.14,24912,996,0.07,14.6,78546,1769,931,21,558413,6621,8.48,2.25
United Arab Emirates,9000000,0.516930734,0.24745978,0.767241379,0.460122699,0.007814402,0.000895644,0.112993332,0.008766015,0.217962254,0.669128189,0,0.03,67871,2426,1.4,22.5,6302,37,637,4,767000,77550,1.09,0.59
United Kingdom,66000000,0.311790513,0.429403048,0.770114943,0.654396728,0.154463347,0.39549464,0.286718328,0.483029894,0.124340276,0.055189926,0.653454134,0.89,42481,4145,1.41,32,108692,14576,1601,215,438991,6467,18.4,13.41
United States,326000000,0.432620446,1,0.810344828,0.396728016,1,1,0.378806992,0.249269499,1,0.090843136,0.555681389,0.34,57436,9536,1.55,19.4,699044,36849,2112,111,3506906,10595,15.81,5.27
Uzbekistan,32000000,0.021588605,0.031223539,0.204022989,0.327198364,0.000800632,0,0.005766805,0,0.037859061,0.034426768,0.125707814,0.01,6563,383,-0.56,16,1405,4,42,0.1,136000,4063,4.42,0.28
